id,title,media_type,genres,popularity,vote_average,vote_count,year,category,x,y,z,centroid_x,centroid_y,centroid_z,dist_from_centroid
137930,5 Stars Family,tv,"Comedy, Drama",2.1319,0.0,0,1994,egyptian,0.002424549202002646,0.0,0.0,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.6865051734615062
118290,Day and night,tv,Drama,2.3884,8.0,1,2021,egyptian,0.002825772989301794,0.8,2.5270393207318306e-05,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.12241792341720674
203875,Sukkar's Crisis,tv,,2.0364,6.0,1,2010,egyptian,0.002275165686653451,0.6,2.5270393207318306e-05,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.0953328544498112
84781,Lost village,tv,"Comedy, Family",2.009,10.0,7,2008,egyptian,0.0022323059136632106,1.0,0.00017689275245122814,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.3177148931555541
90994,Arabesque: The Days of Hassan Al-Noaamany,tv,Drama,2.2103,8.0,3,1994,egyptian,0.002547184464865232,0.8,7.581117962195492e-05,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.12247265570883098
309165,Beit Baba,tv,"Drama, Comedy",1.7148,5.0,1,2026,egyptian,0.0017721108328701929,0.5,2.5270393207318306e-05,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.19014081080924283
121645,Qasr El Nil,tv,Drama,1.8586,4.0,1,2021,egyptian,0.0019970464298043732,0.4,2.5270393207318306e-05,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.2884000460331586
86537,My Way,tv,Drama,2.1346,7.5,2,2015,egyptian,0.0024287726102900056,0.75,5.054078641463661e-05,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.07762419542952566
295048,Laysa Kull Ma Tara Huwa Ma Yabdu,tv,"Drama, Sci-Fi & Fantasy",2.6972,5.0,1,2025,egyptian,0.003308805759352386,0.5,2.5270393207318306e-05,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.18990030213582973
86325,Bwabet Elhalwani,tv,Drama,2.2821,0.0,0,1992,egyptian,0.0026594958408031606,0.0,0.0,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.6864949957656322
247418,Gouging The Sea,tv,Drama,2.4419,2.0,1,2024,egyptian,0.0029094590424031757,0.2,2.5270393207318306e-05,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.487021172679546
